frame id	detection id	hamming distance	distance	x	y	z	yaw	pitch	roll
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
136	100	0	4.26488	4.12399	0.733065	0.80284	0.0671934	-0.157149	0.0257007
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
137	100	0	4.2657	4.12472	0.733567	0.802992	0.074733	-0.187139	0.0278555
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
138	100	0	4.27751	4.13598	0.736485	0.805236	0.0842883	-0.205511	0.0608407
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
139	100	0	4.26477	4.12346	0.7352	0.803015	0.0903196	-0.196942	0.0498413
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
140	100	0	4.26701	4.12539	0.736742	0.803595	0.0959922	-0.211806	0.0806309
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
141	100	0	4.25989	4.11822	0.736787	0.802531	0.102274	-0.227548	0.0752025
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
142	100	0	4.25822	4.1163	0.73787	0.802573	0.10358	-0.21001	0.088978
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
143	100	0	4.25692	4.11468	0.739056	0.802845	0.0979171	-0.174097	0.0904836
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
144	100	0	4.2575	4.11494	0.740433	0.803319	0.10287	-0.206032	0.111992
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
145	100	0	4.24537	4.10287	0.739772	0.801481	0.105721	-0.238263	0.0943237
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
146	100	0	4.24765	4.1048	0.741719	0.801876	0.102095	-0.221184	0.0942857
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
147	100	0	4.25087	4.10768	0.743704	0.802368	0.0924517	-0.181508	0.0982592
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
148	100	0	4.24555	4.10224	0.744471	0.80131	0.103803	-0.2276	0.0973758
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
149	100	0	4.23714	4.0938	0.745048	0.799396	0.104199	-0.262706	0.0938464
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
150	100	0	4.2375	4.09398	0.747001	0.79855	0.0643188	-0.0661019	0.272043
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
151	100	0	4.23123	4.08771	0.747735	0.796751	0.0978961	-0.250786	0.113151
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
152	100	0	4.2308	4.08711	0.749487	0.795908	0.0532489	-0.0584056	0.287839
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
153	100	0	4.2193	4.07581	0.749113	0.793155	0.052833	-0.0430353	0.275689
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
154	100	0	4.22586	4.08202	0.751595	0.793824	0.106066	-0.272175	0.117423
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
155	100	0	4.22435	4.08038	0.753515	0.792377	0.102843	-0.251976	0.118606
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
156	100	0	4.22407	4.08001	0.755389	0.791021	0.105377	-0.258295	0.113997
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
157	100	0	4.21684	4.07291	0.755929	0.788506	0.112109	-0.283558	0.118239
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
158	100	0	4.20427	4.06062	0.755601	0.785065	0.0581736	-0.021378	0.267862
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
159	100	0	4.20882	4.06499	0.757209	0.785278	0.119712	-0.293172	0.145784
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
160	100	0	4.21148	4.06736	0.759471	0.785089	0.0757195	-0.0444263	0.261759
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
161	100	0	4.21533	4.07092	0.761454	0.785344	0.0816119	-0.0442067	0.216231
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
162	100	0	4.20716	4.06281	0.76136	0.78364	0.0771778	-0.0315737	0.269029
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
163	100	0	4.21747	4.07245	0.764382	0.786069	0.120457	-0.226605	0.142675
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
164	100	0	4.21026	4.06501	0.764465	0.785852	0.127786	-0.267217	0.11938
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
165	100	0	4.22347	4.07719	0.76806	0.790147	0.12476	-0.247804	0.100253
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
166	100	0	4.21602	4.06928	0.767986	0.791213	0.125362	-0.261341	0.106284
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
167	100	0	4.22072	4.07298	0.769823	0.795378	0.124621	-0.262218	0.110432
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
168	100	0	4.22925	4.08033	0.771814	0.801103	0.117342	-0.258452	0.114079
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
169	100	0	4.23419	4.08409	0.773488	0.806395	0.105602	-0.25055	0.0887162
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
170	100	0	4.25128	4.09958	0.776942	0.814335	0.0990691	-0.218266	0.147788
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
171	100	0	4.25113	4.09827	0.777518	0.819605	0.0898393	-0.229579	0.106211
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
172	100	0	4.25428	4.10009	0.778593	0.825809	0.0723468	-0.172892	0.0765125
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
173	100	0	4.25906	4.10369	0.779545	0.831635	0.0653137	-0.202179	0.0468609
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
174	100	1	4.27023	4.11372	0.780082	0.838847	0.00942169	0.0405949	0.0153477
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
194	100	0	4.33872	4.16666	0.827807	0.882144	0.0592756	-0.23027	0.310535
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
195	100	0	4.30188	4.1306	0.823914	0.874913	0.0342221	-0.109235	0.0590865
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
196	100	0	4.30733	4.13533	0.827525	0.875943	0.0377057	-0.128599	0.0680217
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
197	100	0	4.30268	4.13058	0.828253	0.874884	0.0329344	-0.103671	0.059202
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
198	100	0	4.3035	4.13121	0.829717	0.874512	0.0796723	-0.306476	0.362413
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
199	100	0	4.30607	4.13317	0.832844	0.874951	0.0703426	-0.28302	0.359308
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
200	100	0	4.32044	4.14665	0.837175	0.877849	0.080025	-0.317565	0.331694
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
201	100	0	4.29483	4.12139	0.835174	0.873015	0.0289701	-0.0862762	0.0462226
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
202	100	0	4.28331	4.11009	0.83466	0.870188	0.0818846	-0.345911	0.386161
2222	2222	2222	2222	2222	2222	2222	2222	2222	2222
