frameId	detectionId	distance	projX	projY	projZ
14113	300	5.624000910216439	5.595670363235141	-0.5269771279684556	0.200385954411342
14114	300	5.610912235129215	5.582192112297159	-0.5331148754452244	0.19301777459374253
14115	300	5.584954819455223	5.555843611142119	-0.5389213388806013	0.18408121682172826
14116	300	5.565381775146578	5.535925344674514	-0.544275774996209	0.1754102678760262
14117	300	5.551514649500907	5.521692385077831	-0.5498104260239883	0.16714246507699193
14118	300	5.526363008113457	5.4961653655687535	-0.5549268041041036	0.15783096608117647
14119	300	5.50536265727333	5.474776108314644	-0.5601189731313068	0.14869864782553982
14120	300	5.488902933234283	5.457912062595503	-0.5654928833822209	0.13953181101976553
14121	300	5.469747662044911	5.438376800461389	-0.5703578759643568	0.1299582855171214
14122	300	5.437729991191686	5.4059402871847535	-0.5749386255154146	0.11900691319756528
14123	300	5.408045116531744	5.375839802339062	-0.5792746332723426	0.108348056176205
14124	300	5.3871722134581255	5.3545593091714485	-0.5837158766141388	0.09795324093304136
14125	300	5.360099904089004	5.3270341203381015	-0.5880655272152796	0.08693329781858143
14126	300	5.329330353422752	5.295781987519106	-0.5922393557655548	0.07554933529584776
14127	300	5.297697948597348	5.2636494064485575	-0.5962388595909963	0.06401330236693589
14128	300	5.276978891034517	5.2424209764793686	-0.60059478093625	0.05305121021354359
14129	300	5.255283397849877	5.220154697452299	-0.6051807385924469	0.041770803439009165
14130	300	5.227685217833741	5.191957500823525	-0.6093977154236989	0.0300744216258024
14131	300	5.206397808767367	5.170103791797112	-0.6133947203589223	0.01875745767839324
14132	300	5.176530233335339	5.139650368575992	-0.6167734538091909	0.007060602507473119
14133	300	5.150703638462648	5.113246960475173	-0.6200280401686472	-0.004326877440487778
14134	300	5.1192077225689765	5.081136713813754	-0.6229665029210614	-0.01581577004551664
14135	300	5.0968022239027375	5.058097423250804	-0.6263755039629914	-0.02640254757708353
14136	300	5.072994010032488	5.033660480730641	-0.629448716693293	-0.036396477978504434
14137	300	5.058806430889195	5.018865578697972	-0.6327665830099503	-0.04601368918546545
14138	300	5.036783999222561	4.9962876114864185	-0.6350362728543424	-0.055064419465028665
14139	300	5.023003756628331	4.981996526496523	-0.6373634776118194	-0.06360146606377506
14140	300	4.995140293836923	4.953603520599137	-0.6387986202918269	-0.07193774068131313
14141	300	4.991248903724875	4.9492537499286335	-0.6413287132374361	-0.07842460920736634
14142	300	4.978988610412438	4.936468795302802	-0.643476116374397	-0.08684413206554181
14143	300	4.967011883499267	4.924009735023593	-0.6453778474553917	-0.09392877210768596
14144	300	4.95163667928686	4.9081658687998155	-0.6469223253238184	-0.10052419114415567
14145	300	4.943368240305626	4.899375573571968	-0.6492255485045048	-0.10730673565863473
14146	300	4.925419837625848	4.880853738464613	-0.651078389088035	-0.11456130174174332
14147	300	4.903387182073844	4.858226135617587	-0.6526253292851059	-0.12216731192830092
14148	300	4.885651447084214	4.839871079998066	-0.6545741465417656	-0.12950165278312006
14149	300	4.884671472708953	4.838183605854385	-0.6580453573827038	-0.13773561618394006
14150	300	4.875187728832817	4.827981866100218	-0.6609098763216787	-0.14575536816871146
14151	300	4.853777503541607	4.80576357054571	-0.6633693653758339	-0.15405727176343828
14152	300	4.840738998053056	4.791773222909785	-0.6671424243401285	-0.16304727266057567
14153	300	4.813256987664039	4.763341395995536	-0.6697344390788882	-0.171689707331829
14154	300	4.7983238534847334	4.747421805126256	-0.6733196217930764	-0.1803848498094378
14155	300	4.777285094680037	4.725373468422709	-0.6763920793433905	-0.1891883050833574
14156	300	4.758304734929935	4.705335688027224	-0.6798000116195719	-0.19786853624571507
14157	300	4.7411741396695515	4.687112291336156	-0.6834129086424513	-0.2065366489940969
14158	300	4.7241862723145305	4.6689394465349965	-0.687410569145247	-0.21542304784295696
14159	300	4.706568780029398	4.650186232258639	-0.6910667172964473	-0.22357208838481124
14160	300	4.6990704136112775	4.6414731681152865	-0.6958782205100444	-0.23182554639747555
14161	300	4.6835554806803765	4.6248306761307445	-0.6996315042034075	-0.23905839465977824
14162	300	4.66781691578721	4.607949611780036	-0.7034297506559996	-0.2459709749085612
14163	300	4.6502892582181765	4.589248568262566	-0.7072119911243827	-0.2526637358411927
14164	300	4.639668754877434	4.577643833601219	-0.7106221964348051	-0.2583005644840992
14165	300	4.633354511135726	4.570182979238165	-0.7149771528304782	-0.2649702494129733
14166	300	4.623440966509898	4.559111998866066	-0.7192523719697629	-0.2708877590688197
14167	300	4.607845231172099	4.542151095149047	-0.7238771934214376	-0.27767411135372666
14168	300	4.59633618966902	4.5294334723999174	-0.7281375021182322	-0.2834688088191738
14169	300	4.588614007419489	4.5203117615986965	-0.7334505391696392	-0.2901902714265215
14170	300	4.577883707848064	4.508250930130688	-0.7381835320572459	-0.29627329706877803
14171	300	4.567701761263374	4.496695025347483	-0.7431528928516766	-0.3022532162110317
14172	300	4.5419325472861285	4.469379987085358	-0.7474507938965591	-0.3084008849555108
14173	300	4.546594209418785	4.472480938836896	-0.7541232239998947	-0.3158026597181477
14174	300	4.537337418862473	4.461752938300417	-0.7592196410954057	-0.3221445432599078
14175	300	4.5263467942760744	4.449310850237438	-0.7641898794005021	-0.3278141062165112
14176	300	4.519956320828248	4.4413785784493705	-0.7696678848339278	-0.3343244115250077
14177	300	4.497815852857289	4.4178764716251395	-0.7731529257537444	-0.3390420048810611
14178	300	4.483487431505503	4.4019982353443785	-0.7779699916911991	-0.3447227531231145
14179	300	4.475675071205082	4.392585436452843	-0.7835732381643478	-0.3505331751798019
14180	300	4.472448429335167	4.3877440921900135	-0.789418202372593	-0.35681316718564715
14181	300	4.460339236103348	4.374072194744318	-0.7942156250151815	-0.3624087157745489
14182	300	4.454710596671008	4.3667164903079865	-0.8002994973411943	-0.3684485146132251
14183	300	4.443916446877143	4.3542165320248385	-0.8058527475803299	-0.3738891925209805
14184	300	4.440036514876987	4.348785779306096	-0.8115470920106108	-0.3786526331549499
14185	300	4.4379900970040795	4.345075850681233	-0.8177547888867944	-0.3838607275897771
14186	300	4.420750956287692	4.326270502077138	-0.8221722498801896	-0.3878857459390632
14187	300	4.422514843810932	4.3262495378051815	-0.8292243195060294	-0.3931787231123349
14188	300	4.417349276805405	4.319416254038689	-0.8352980549861118	-0.3973600596134851
14189	300	4.414993383112038	4.315477530212341	-0.8414980514689151	-0.40087565220338295
14190	300	4.415191565309566	4.3139305919044535	-0.8484039155950263	-0.405129858952253
14191	300	4.407963091182623	4.3050748613552745	-0.8540081548405641	-0.40882651922415175
14192	300	4.3995627518158535	4.294923049418801	-0.8597493836862786	-0.4130610172694154
14193	300	4.398715229631869	4.292338141156584	-0.8662694812018271	-0.4172602776518576
14194	300	4.400165917310488	4.2920771707886365	-0.8726106353257418	-0.4220004016257208
14195	300	4.395024287890438	4.2853785766953365	-0.8779383712523805	-0.4254329110802488
14196	300	4.386825123871967	4.275636826996463	-0.8829108243470543	-0.4285240568704604
14197	300	4.389376376173624	4.276444688339751	-0.8896026590951647	-0.4327272908110157
14198	300	4.389582420068346	4.275058282676431	-0.8954079915973272	-0.4365260941528618
14199	300	4.3966489380895695	4.280501743580332	-0.9022074724961204	-0.44028216473309184
14200	300	4.399539414432381	4.281929413393852	-0.9079269718547291	-0.4435044212127998
14201	300	4.3857156618182085	4.26716085475717	-0.910389990236681	-0.4438808079005547
14202	300	4.39268299986704	4.272719424572559	-0.9163608040035168	-0.44700730764415053
14203	300	4.3941178832196615	4.272884249019498	-0.9213183461949516	-0.4493380365343137
14204	300	4.388326798589918	4.26612133422279	-0.9244952434793672	-0.4504768558934215
14205	300	4.398823801079969	4.2752977897034015	-0.9305743150808744	-0.4533333060967372
14206	300	4.3965699729302115	4.2721563307643375	-0.9339161716544462	-0.4542118412195343
14207	300	4.402181533420642	4.276697368320376	-0.9384974702128996	-0.45638182632010205
